"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-26","9.17",,"0.00","0.0","0.0",,"66","46","   90","  170","0.0","17.0","23.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-27","6.71",,"0.03","0.0","0.0",,"60","52","  180","  170","0.0","14.1","18.1","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-28","6.04",,"0.00","0.0","0.0",,"84","56","  170","  200","0.0","15.0","19.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-29","8.28",,"0.00","0.0","0.0",,"89","62","  180","  190","0.0","14.1","18.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-30","10.51",,"0.00","0.0","0.0",,"85","64","  330","  320","0.0","21.9","31.1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-01","6.93",,"0.00","0.0","0.0",,"85","64","  250","  290","0.0","14.1","25.9",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-02","6.93",,"0.00","0.0","0.0",,"91","63","  160","  180","0.0","16.1","21.9",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-03","10.74",,"0.00","0.0","0.0",,"76","55","  120","   60","0.0","18.1","31.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-04","7.61",,"0.82","0.0","0.0",,"56","53","   80","   70","0.0","14.1","17.0","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-05","5.37",,"0.58","0.0","0.0",,"72","55","  150","  150","0.0","10.1","14.1","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-06","3.58",,"0.02","0.0","0.0",,"77","67","  170","  210","0.0","10.1","14.1","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-07","5.14",,"0.01","0.0","0.0",,"79","68","  180","  180","0.0","14.1","18.1","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-08","8.05",,"0.00","0.0","0.0",,"88","68","  240","  230","0.0","18.1","27.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-09","7.16",,"0.22","0.0","0.0",,"75","60","  320","   10","0.0","19.9","28.0","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-10","9.84",,"0.07","0.0","0.0",,"61","51","   40","   30","0.0","18.1","23.9","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-05-11","7.61",,"0.24","0.0","0.0",,"67","48","  280","  300","0.0","23.0","35.1",,,"    1",,,,"    1"
